merchant_id,churn_probability,churn_risk_level,inactive_days,revenue_decline_pct,reorder_drop_pct,support_tickets_open,churn_driver,retention_recommendation
M0047,0.02,LOW,19,10.9,1.92,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0048,0.1698,LOW,19,17.33,18.02,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0049,0.0979,LOW,14,10.38,10.77,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0050,0.2791,MEDIUM,34,28.75,25.24,7,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0051,0.0552,LOW,16,7.63,12.27,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0052,0.3542,MEDIUM,34,37.01,24.42,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0053,0.5145,MEDIUM,55,51.82,33.61,10,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0054,0.0817,LOW,25,9.29,14.14,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0055,0.3178,MEDIUM,31,29.61,27.33,6,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0056,0.2474,LOW,16,21.47,16.95,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0057,0.3319,MEDIUM,34,35.86,31.7,6,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0058,0.5487,MEDIUM,50,50.92,35.32,12,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0059,0.1033,LOW,21,10.32,7.62,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0060,0.02,LOW,12,0.76,0.51,1,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0061,0.2278,LOW,35,27.67,24.23,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0062,0.2214,LOW,20,17.41,18.49,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0063,0.4715,MEDIUM,57,39.36,38.4,12,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0064,0.0977,LOW,11,6.51,14.84,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0065,0.1015,LOW,10,11.16,4.93,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0066,0.1349,LOW,26,20.18,19.35,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0067,0.3911,MEDIUM,47,40.14,35.71,8,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0068,0.1872,LOW,20,16.76,13.15,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0069,0.077,LOW,15,9.24,6.27,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0070,0.4726,MEDIUM,59,51.6,39.61,10,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0071,0.2117,LOW,25,24.0,17.29,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0072,0.658,HIGH,76,64.24,44.45,15,Elevated Return/Refund Volume,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0073,0.1968,LOW,18,25.67,22.66,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0074,0.1238,LOW,25,14.91,19.01,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0075,0.1319,LOW,15,10.17,18.14,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0076,0.597,MEDIUM,53,52.25,42.32,12,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0077,0.1751,LOW,20,17.56,18.57,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0078,0.1615,LOW,24,14.78,21.68,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0079,0.2277,LOW,12,19.3,19.74,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0080,0.0549,LOW,6,1.43,4.78,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0081,0.1109,LOW,20,9.56,14.98,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0082,0.1089,LOW,17,12.39,17.72,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0083,0.6903,HIGH,83,62.31,37.95,13,Competitor Price Undercutting,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0084,0.3261,MEDIUM,32,30.31,25.48,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0085,0.5355,MEDIUM,65,47.94,35.52,11,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0086,0.4741,MEDIUM,42,39.5,31.89,9,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0087,0.1593,LOW,10,10.3,12.06,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0088,0.3705,MEDIUM,30,34.29,27.57,5,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0089,0.5116,MEDIUM,51,43.46,27.98,11,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0090,0.1,LOW,16,11.45,10.5,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0091,0.142,LOW,23,7.62,13.92,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0092,0.1184,LOW,16,17.18,11.26,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0093,0.4423,MEDIUM,41,38.25,32.21,10,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0094,0.2558,MEDIUM,26,22.78,20.65,6,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0095,0.0704,LOW,19,3.53,4.88,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0096,0.1042,LOW,17,1.6,4.38,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0097,0.1827,LOW,21,10.21,8.51,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0098,0.2142,LOW,26,22.59,15.69,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0099,0.2222,LOW,15,23.61,19.75,7,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0100,0.4248,MEDIUM,34,37.59,26.59,7,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0101,0.231,LOW,15,18.84,22.43,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0102,0.6655,HIGH,76,61.3,49.67,14,Product Catalog Fatigue,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0103,0.4852,MEDIUM,50,43.54,28.16,7,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0104,0.1984,LOW,17,18.17,17.91,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0105,0.196,LOW,27,18.04,24.3,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0106,0.3947,MEDIUM,40,31.19,33.23,9,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0107,0.4523,MEDIUM,46,35.33,32.97,9,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0108,0.4806,MEDIUM,52,46.95,39.1,12,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0109,0.1077,LOW,21,7.22,11.37,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0110,0.5288,MEDIUM,55,52.46,34.54,13,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0111,0.3646,MEDIUM,31,32.24,37.32,5,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0112,0.5758,MEDIUM,60,51.44,41.69,13,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0113,0.3725,MEDIUM,34,34.93,37.34,9,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0114,0.3473,MEDIUM,41,39.95,32.81,8,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0115,0.0862,LOW,12,3.66,3.51,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0116,0.2166,LOW,15,21.63,19.87,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0117,0.3395,MEDIUM,39,35.45,29.53,5,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0118,0.1629,LOW,24,18.36,16.16,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0119,0.1825,LOW,11,10.63,12.91,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0120,0.2039,LOW,19,18.28,20.43,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0121,0.674,HIGH,80,65.0,45.27,14,Competitor Price Undercutting,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0122,0.245,LOW,22,22.72,22.11,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0123,0.1117,LOW,17,11.37,13.99,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0124,0.0772,LOW,17,9.71,7.91,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0125,0.2264,LOW,37,24.37,24.46,7,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0126,0.202,LOW,14,18.66,18.15,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0127,0.4501,MEDIUM,41,38.51,33.38,6,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0128,0.5048,MEDIUM,51,46.04,33.47,8,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0129,0.2243,LOW,18,20.53,18.32,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0130,0.4894,MEDIUM,61,44.75,37.68,10,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0131,0.3734,MEDIUM,34,36.65,30.55,8,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0132,0.1826,LOW,19,19.42,18.04,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0133,0.02,LOW,16,-0.08,4.87,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0134,0.1574,LOW,17,6.01,7.28,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0135,0.3186,MEDIUM,31,31.38,32.21,7,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0136,0.4807,MEDIUM,48,46.17,32.21,12,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0137,0.0947,LOW,9,5.06,4.83,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0138,0.1965,LOW,18,16.98,18.84,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0139,0.3824,MEDIUM,45,40.57,34.97,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0140,0.563,MEDIUM,66,50.44,32.2,14,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0141,0.5195,MEDIUM,60,51.07,39.66,13,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0142,0.3887,MEDIUM,30,33.13,30.64,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0143,0.3793,MEDIUM,29,32.95,30.12,9,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0144,0.3339,MEDIUM,40,36.86,27.0,7,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0145,0.0876,LOW,16,10.72,3.62,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0146,0.4476,MEDIUM,37,42.53,33.38,10,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0147,0.3433,MEDIUM,39,31.76,29.34,7,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0148,0.0813,LOW,23,10.28,8.98,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0149,0.2973,MEDIUM,39,30.65,23.08,8,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0150,0.2496,LOW,30,19.63,22.54,7,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0151,0.199,LOW,25,13.69,17.04,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0152,0.152,LOW,14,11.5,12.8,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0153,0.4235,MEDIUM,36,35.39,31.13,7,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0154,0.0297,LOW,15,9.71,8.45,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0155,0.1457,LOW,12,9.33,12.37,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0156,0.2536,MEDIUM,17,16.59,23.51,5,Lack of Re-engagement Campaigns,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0157,0.2005,LOW,17,12.73,20.1,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0158,0.3761,MEDIUM,30,30.49,36.88,8,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0159,0.2347,LOW,24,15.55,23.53,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0160,0.4189,MEDIUM,41,36.3,33.22,8,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0161,0.1526,LOW,19,19.3,12.71,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0162,0.3463,MEDIUM,34,29.36,27.11,7,Product Catalog Fatigue,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0163,0.2923,MEDIUM,31,32.76,23.52,7,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0164,0.2563,MEDIUM,26,24.77,21.37,5,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0165,0.2287,LOW,24,19.64,14.86,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0166,0.1966,LOW,14,11.67,15.28,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0167,0.6228,HIGH,59,51.76,44.31,14,Payment Gateway Failures & Bank Latency,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0168,0.1309,LOW,12,10.6,8.67,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0169,0.284,MEDIUM,31,21.61,17.19,8,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0170,0.2633,MEDIUM,35,27.65,20.15,6,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0171,0.0434,LOW,10,6.27,0.69,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0172,0.459,MEDIUM,32,34.85,30.51,8,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0173,0.2076,LOW,25,20.07,12.25,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0174,0.1389,LOW,19,13.41,20.73,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0175,0.2361,LOW,37,29.42,21.6,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0176,0.2292,LOW,30,26.94,16.42,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0177,0.0226,LOW,9,8.66,1.16,2,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0178,0.7112,HIGH,83,60.69,48.65,14,Competitor Price Undercutting,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0179,0.4541,MEDIUM,44,38.22,28.78,8,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0180,0.5493,MEDIUM,62,51.73,37.77,11,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0181,0.0383,LOW,12,6.36,9.05,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0182,0.073,LOW,9,7.19,2.51,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0183,0.2029,LOW,24,14.59,22.43,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0184,0.2336,LOW,37,30.69,25.17,7,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0185,0.1167,LOW,22,7.77,13.95,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0186,0.0793,LOW,22,16.04,10.48,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0187,0.2047,LOW,28,26.76,25.62,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0188,0.23,LOW,14,16.66,16.73,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0189,0.4363,MEDIUM,40,39.42,35.35,9,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0190,0.5075,MEDIUM,59,53.03,41.53,14,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0191,0.5425,MEDIUM,57,48.9,39.41,13,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0192,0.3305,MEDIUM,42,29.87,19.32,6,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0193,0.2248,LOW,23,20.98,21.34,6,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0194,0.1809,LOW,25,21.07,15.18,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0195,0.5768,MEDIUM,59,48.04,46.07,11,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0196,0.0923,LOW,20,13.57,13.55,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0197,0.4935,MEDIUM,59,42.92,34.88,11,Competitor Price Undercutting,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0198,0.2934,MEDIUM,26,25.19,24.58,7,Checkout Funnel Friction,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0199,0.3391,MEDIUM,41,35.66,26.33,8,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0200,0.6637,HIGH,75,59.11,43.88,15,Competitor Price Undercutting,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0201,0.1637,LOW,18,14.88,10.24,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0202,0.1546,LOW,14,17.82,16.91,5,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0203,0.5837,MEDIUM,50,50.17,43.23,12,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0204,0.3262,MEDIUM,37,34.71,31.65,6,Elevated Return/Refund Volume,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0205,0.0772,LOW,17,1.18,0.47,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0206,0.6872,HIGH,76,58.38,39.63,15,Product Catalog Fatigue,"Deploy urgent automated checkout retry logic, instant WhatsApp refund notifications, and 15% win-back incentives."
M0207,0.0438,LOW,21,8.8,6.53,1,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0208,0.2652,MEDIUM,16,19.47,17.47,2,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0209,0.19,LOW,27,18.58,16.2,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0210,0.2266,LOW,17,20.86,19.0,3,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0211,0.225,LOW,21,24.01,16.82,4,Normal Healthy Velocity,Maintain current customer loyalty programs and test VIP tiers.
M0212,0.4725,MEDIUM,57,42.9,33.92,12,Seasonal Demand Drop,Enable dynamic gateway routing and launch personalized re-engagement sequence.
M0213,0.577,MEDIUM,58,52.05,35.08,13,Payment Gateway Failures & Bank Latency,Enable dynamic gateway routing and launch personalized re-engagement sequence.
